,district,latitude,longitude
1673,sidenreng rappang,-3.7738981,120.0202964
1674,pinrang,-3.793071,119.6408
1675,enrekang,-3.563128,119.7612
1676,luwu,-3.3052214,120.2512728
1677,tana toraja,-3.0753003,119.742604
1678,luwu utara,-2.2690446,119.9740534
1679,luwu timur,-2.5825518,121.1710389
1680,makassar,-5.1333333,119.4166667
1681,pare-pare,-4.0166667,119.6236111
1682,palopo,-3,120.2
1683,buton,-5.3096355,122.9888319
1684,muna,-4.901629,122.6277455
1685,konawe,-3.9380432,122.0837445
1686,kolaka,-4.049665,121.593803
1687,konawe selatan,-4.2027915,122.4467238
1688,bombana,-4.6543462,121.9017954
1689,wakatobi,-5.3264442,123.5951925
1690,kolaka utara,-3.1347227,121.1710389
1691,buton utara,-4.7023424,123.0338767
1692,konawe utara,-3.3803291,122.0837445
1693,kendari,-3.972201,122.5149028
1694,bau-bau,-5.46667,122.633
1695,boalemo,0.7013419,122.2653887
1696,gorontalo,0.5333333,123.0666667
1697,pohuwato,0.7055278,121.7195459
1698,bone bolango,0.5657885,123.3486147
1699,gorontalo utara,0.9252647,122.4920088
1700,gorontalo,0.5333333,123.0666667
1701,majene,-3.0297251,118.9062794
1702,polewali mandar,-3.3419323,119.1390642
1703,mamasa,-2.960135,119.368202
1704,mamuju,-2.7293364,118.9295737
1705,mamuju utara,-1.5264542,119.5107708
1706,maluku tenggara barat,-7.5322642,131.3611121
1707,maluku tenggara,-5.7512455,132.7271587
1708,maluku tengah,-3.0166501,129.4864411
1709,buru selatan,-3.3927754,126.7819505
1710,kepulauan aru,-6.1946502,134.5501935
1711,seram bagian barat,-3.1271575,128.4008357
1712,seram bagian timur,-3.4150761,130.390488
1713,ambon,-3.65607,128.166419
1714,kotatual,-5.640851,132.7475093
1715,halmahera barat,1.3121235,128.4849923
1716,halmahera tengah,1.3121235,128.4849923
1717,kepulauan sula,-1.8666667,125.3666667
1718,halmahera selatan,1.3121235,128.4849923
1719,halmahera utara,1.3121235,128.4849923
1720,halmahera timur,1.3121235,128.4849923
1721,ternate,0.7833333,127.3666667
1722,tidore kepulauan,0.6833333,127.4
1723,fakfak,-2.885237,132.2658282
1724,kaimana,-3.660925,133.774506
1725,teluk wondama,-2.8551699,134.3236557
1726,teluk bintuni,-1.9056848,133.329466
1727,manokwari,-0.8614531,134.0620421
1728,sorong selatan,-0.8666667,131.25
1729,sorong,-0.8666667,131.25
1730,raja ampat,-1.0915151,130.8778586
1731,sorong,-0.8666667,131.25
1732,merauke,-8.4960406,140.3945527
1733,jayawijaya,-4.0004481,138.7995122
1734,jayapura,-2.533,140.717
1735,nabire,-3.5095462,135.7520985
1736,kepulauan yapen,-1.7469359,136.1709012
1737,biak numfor,-1.0381022,135.9800848
1738,paniai,-3.7876441,136.3624686
1739,puncak jaya,-4.0836111,137.1847222
1740,mimika,-4.4553223,137.1362125
1741,boven digoel,-5.7400018,140.3481835
1742,mappi,-7.102232,139.396393
1743,asmat,-5.0573958,138.3988186
1744,yahukimo,-4.4939717,139.5279996
1745,pegunungan bintang,-4.5589872,140.5135589
1746,tolikara,-3.481132,138.4787258
1747,sarmi,-1.868727,138.743607
1748,keerom,-3.3449536,140.7624493
1749,waropen,-2.8435717,136.670534
1750,supiori,-0.7295099,135.6385125
1751,mamberamo raya,-2.5331255,137.7637565
1752,jayapura,-2.533,140.717
1753,labuhanbatu utara,2.3465638,99.8124935
1754,labuhanbatu selatan,1.8799353,100.1703257
1756,nias utara,1.1255279,97.5247243
1757,nias barat,1.1255279,97.5247243
1758,gunungsitoli,1.281964,97.61594
1759,kepulauan meranti,0.9208765,102.6675575
1760,sungai penuh,-2.06314,101.387199
1761,bengkulu tengah,-3.7955556,102.2591667
1762,tulangbawang barat,-4.5256967,105.0791228
1763,pringsewu,-5.3539884,104.9622498
1764,mesuji,-4.0044783,105.3131185
1765,lingga,-0.1627686,104.6354631
1766, anambas,3.1055459,105.6537231
1767,sleman,-7.716165,110.335403
1768,tangerang selatan,-6.2888889,106.7180556
1769,lombok utara,-8.3739076,116.2777073
1770,sabu raijua,-10.5541116,121.8334868
1771,bolang mongondow timur,0.7152651,124.4641848
1772,bolang mongondow selatan,0.4053215,123.8411288
1773,sigi,-1.3834127,120.0665236
1774,toraja utara,-2.8621942,119.8352303
1775,maluku barat daya,-7.7851588,126.3498097
1776,buru,-3.3927754,126.7819505
1778,pulau morota,2.3656672,128.4008357
1789,tambrauw,-0.781856,132.3938375
1790,maybat,3.1472,101.6997
1791,memberamo tengah,-2.3745692,138.3190276
1792,yalimo,-3.7852847,139.4466005
1793,lanny jaya,-3.971033,138.3190276
1794,nduga,-4.4069496,138.2393528
1795,puncak,-6.7125476,106.9542425
1796,dogiyai,-4.0193872,135.9610446
1797,intan jaya,-3.5076422,136.7478493
1798,deiyai,-4.0974893,136.4393054
