,district,latitude,longitude
1516,Kabupaten Jepara,-6.5596059,110.6717
1517,Kabupaten Demak,-6.888115,110.639297
1518,Kabupaten Semarang,-6.9666667,110.4166667
1519,Kabupaten Temanggung,-7.316669,110.174797
1520,Kabupaten Kendal,-6.919686,110.205597
1521,Kabupaten Batang,-6.8941111,109.7234519
1522,Kabupaten Pekalongan,-6.882887,109.669998
1523,Kabupaten Pemalang,-6.884234,109.377998
1524,Kabupaten Tegal,-6.8666667,109.1333333
1525,Kabupaten Brebes,-6.8833333,109.05
1526,Kota Magelang,-7.481253,110.213799
1527,Kota Surakarta,-7.5666667,110.8166667
1528,Kota Salatiga,-7.302328,110.4729
1529,Kota Semarang,-6.9666667,110.4166667
1530,Kota Pekalongan,-6.882887,109.669998
1531,Kota Tegal,-6.8666667,109.1333333
1532,Kabupaten Kulon Progo,-7.8266798,110.1640846
1533,Kabupaten Bantul,-7.8846111,110.3341111
1534,Kabupaten Gunung Kidul,-8.0305091,110.6168921
1536,Kota Yogyakarta,-7.797224,110.368797
1537,Kabupaten Pandeglang,-6.314835,106.103897
1538,Kabupaten Lebak,-6.5643956,106.2522143
1539,Kabupaten Tangerang,-6.1783056,106.6318889
1540,Kabupaten Serang,-6.12009,106.150299
1541,Kota Tangerang,-6.1783056,106.6318889
1542,Kota Cilegon,-6.0169825,106.040506
1543,Kota Serang,-6.12009,106.150299
1544,Kabupaten Jembrana,-8.361852,114.6418
1545,Kabupaten Tabanan,-8.544516,115.119797
1546,Kabupaten Badung,-8.5819296,115.1770586
1547,Kabupaten Gianyar,-8.544185,115.3255
1548,Kabupaten Klungkung,-8.5389222,115.4045111
1549,Kabupaten Bangli,-8.454303,115.354897
1550,Kabupaten Karang Asem,-6.3996057,108.0503042
1551,Kabupaten Buleleng,-8.113831,115.126999
1552,Kota Denpasar,-8.65629,115.222099
1553,Kabupaten Lombok Barat,-8.6464599,116.1123078
1554,Kabupaten Lombok Tengah,-8.694623,116.2777073
1555,Kabupaten Lombok Timur,-8.5134471,116.5609857
1556,Kabupaten Sumbawa,-8.6529334,117.3616476
1557,Kabupaten Dompu,-8.4966318,118.4747173
1558,Kabupaten Bima,-8.460566,118.727402
1559,Kabupaten Sumbawa Barat,-8.9292907,116.8910342
1560,Kota Mataram,-8.5833333,116.1166667
1561,Kota Bima,-8.460566,118.727402
1562,Kabupaten Sumba Barat,-9.6548326,119.3947135
1563,Kabupaten Sumba Timur,-9.9802103,120.3435506
1564,Kabupaten Kupang,-10.1833333,123.5833333
1565,Kabupaten Timor Tengah Selatan,-9.7762816,124.4198243
1566,Kabupaten Timor Tengah Utara,-9.4522647,124.597132
1567,Kabupaten Belu,-9.4125796,124.9506625
1568,Kabupaten Alor,-8.2754027,124.7298765
1569,Kabupaten Lembata,-8.4719075,123.4831906
1570,Kabupaten Flores Timur,-8.3130942,122.9663018
1571,Kabupaten Sikka,-8.6766175,122.1291843
1572,Kabupaten Ende,-8.854053,121.654198
1573,Kabupaten Ngada,-8.7430424,120.9876321
1574,Kabupaten Manggarai,-8.6796987,120.3896651
1575,Kabupaten Rote Ndao,-10.7386421,123.1239049
1576,Kabupaten Manggarai Barat,-8.6688149,120.0665236
1577,Kabupaten Sumba Tengah,-9.4879226,119.6962677
1578,Kabupaten Sumba Barat Daya,-9.539139,119.1390642
1579,Kabupaten Nagekeo,-8.6753545,121.3084088
1580,Kabupaten Manggarai Timur,-8.6206712,120.6199895
1581,Kota Kupang,-10.1833333,123.5833333
1582,Kabupaten Sambas,1.361328,109.309998
1583,Kabupaten Bengkayang,0.8209729,109.477699
1584,Kabupaten Landak,0.4237287,109.7591675
1585,Kabupaten Pontianak,-0.022523,109.330307
1586,Kabupaten Sanggau,0.119275,110.597298
1587,Kabupaten Ketapang,-1.859098,109.971901
1588,Kabupaten Sintang,0.080238,111.495499
1589,Kabupaten Kapuas Hulu,-0.7931004,113.9060624
1590,Kabupaten Sekadau,0.015637,110.888603
1591,Kabupaten Melawi,-0.7000681,111.6660725
1592,Kabupaten Kayong Utara,-0.9225877,110.0449662
1593,Kabupaten Kubu Raya,-0.3533938,109.4735066
1594,Kota Pontianak,-0.022523,109.330307
1595,Kota Singkawang,0.908795,108.984596
1596,Kabupaten Kotawaringin Barat,-6.1961131,106.8630174
1597,Kabupaten Kotawaringin Timur,-6.1952992,106.8630737
1598,Kabupaten Kapuas,-0.0459972,110.1313251
1599,Kabupaten Barito Selatan,-1.875943,114.8092691
1600,Kabupaten Barito Utara,-0.9587136,115.094045
1601,Kabupaten Sukamara,-2.6267517,111.2368084
1602,Kabupaten Lamandau,-1.9269166,111.1891151
1603,Kabupaten Seruyan,-3.0123467,112.4291464
1604,Kabupaten Katingan,-0.9758379,112.8105512
1605,Kabupaten Pulang Pisau,-2.6849607,113.9536466
1606,Kabupaten Gunung Mas,-6.7052778,106.9913889
1607,Kabupaten Barito Timur,-2.0123999,115.188916
1608,Kabupaten Murung Raya,-0.1362171,114.3341432
1609,Kota Palangka Raya,-2.21,113.92
1610,Kabupaten Tanah Laut,-3.7694047,114.8092691
1611,Kabupaten Kota Baru,-6.332973,106.807915
1612,Kabupaten Banjar,-7.3666667,108.5333333
1613,Kabupaten Barito Kuala,-3.0714738,114.6667939
1614,Kabupaten Tapin,-2.9160746,115.0465991
1615,Kabupaten Hulu Sungai Selatan,-2.7662681,115.2363408
1616,Kabupaten Hulu Sungai Tengah,-2.6153162,115.5207358
1617,Kabupaten Hulu Sungai Utara,-2.4421225,115.188916
1618,Kabupaten Tabalong,-1.864302,115.5681084
1619,Kabupaten Tanah Bumbu,-3.4512244,115.5681084
1620,Kabupaten Balangan,-2.3260425,115.6154732
1621,Kota Banjarmasin,-3.328499,114.589203
1622,Kota Banjar Baru,-3.4666667,114.75
1623,Kabupaten Paser,-1.7175266,115.9467997
1624,Kabupaten Kutai Barat,0.1353881,115.094045
1625,Kabupaten Kutai Kartanegara,-0.1336655,116.6081653
1626,Kabupaten Kutai Timur,0.9433774,116.9852422
1627,Kabupaten Berau,2.0450883,117.3616476
1628,Kabupaten Malinau,3.584221,116.647797
1629,Kabupaten Bulungan,2.9042476,116.9852422
1630,Kabupaten Nunukan,4.0609227,117.666952
1631,Kabupaten Penajam Paser Utara,-1.2917094,116.5137964
1632,Kabupaten Tana Tidung,3.551869,117.0794082
1633,Kota Balikpapan,-1.2635389,116.8278833
